orbit_id,representative,rep_r1,rep_c1,rep_r2,rep_c2,orbit_inputs_sigma_order,orbit_size,seed_0_outputs_on_orbit,seed_1_outputs_on_orbit,seed_2_outputs_on_orbit,g1_rep_value,g2_rep_value,g3_rep_value,g4_rep_value,g5_rep_value,g6_rep_value,g1_orbit_outputs,g2_orbit_outputs,g3_orbit_outputs,g4_orbit_outputs,g5_orbit_outputs,g6_orbit_outputs
1,"(0,0,1,0)",0,0,1,0,"(0,0,1,0) -> (1,1,2,1) -> (2,2,0,2)",3,"0,1,2","1,2,0","2,0,1",1,0,0,0,0,2,"1,2,0","0,1,2","0,1,2","0,1,2","0,1,2","2,0,1"
2,"(0,0,1,1)",0,0,1,1,"(0,0,1,1) -> (1,1,2,2) -> (2,2,0,0)",3,"0,1,2","1,2,0","2,0,1",1,1,2,0,0,1,"1,2,0","1,2,0","2,0,1","0,1,2","0,1,2","1,2,0"
3,"(0,0,1,2)",0,0,1,2,"(0,0,1,2) -> (1,1,2,0) -> (2,2,0,1)",3,"0,1,2","1,2,0","2,0,1",1,2,1,0,0,0,"1,2,0","2,0,1","1,2,0","0,1,2","0,1,2","0,1,2"
4,"(0,0,2,0)",0,0,2,0,"(0,0,2,0) -> (1,1,0,1) -> (2,2,1,2)",3,"0,1,2","1,2,0","2,0,1",2,0,0,0,0,1,"2,0,1","0,1,2","0,1,2","0,1,2","0,1,2","1,2,0"
5,"(0,0,2,1)",0,0,2,1,"(0,0,2,1) -> (1,1,0,2) -> (2,2,1,0)",3,"0,1,2","1,2,0","2,0,1",2,1,2,0,0,0,"2,0,1","1,2,0","2,0,1","0,1,2","0,1,2","0,1,2"
6,"(0,0,2,2)",0,0,2,2,"(0,0,2,2) -> (1,1,0,0) -> (2,2,1,1)",3,"0,1,2","1,2,0","2,0,1",2,2,1,0,0,2,"2,0,1","2,0,1","1,2,0","0,1,2","0,1,2","2,0,1"
7,"(0,1,1,0)",0,1,1,0,"(0,1,1,0) -> (1,2,2,1) -> (2,0,0,2)",3,"0,1,2","1,2,0","2,0,1",1,0,2,1,0,2,"1,2,0","0,1,2","2,0,1","1,2,0","0,1,2","2,0,1"
8,"(0,1,1,1)",0,1,1,1,"(0,1,1,1) -> (1,2,2,2) -> (2,0,0,0)",3,"0,1,2","1,2,0","2,0,1",1,1,1,1,0,1,"1,2,0","1,2,0","1,2,0","1,2,0","0,1,2","1,2,0"
9,"(0,1,1,2)",0,1,1,2,"(0,1,1,2) -> (1,2,2,0) -> (2,0,0,1)",3,"0,1,2","1,2,0","2,0,1",1,2,0,1,0,0,"1,2,0","2,0,1","0,1,2","1,2,0","0,1,2","0,1,2"
10,"(0,1,2,0)",0,1,2,0,"(0,1,2,0) -> (1,2,0,1) -> (2,0,1,2)",3,"0,1,2","1,2,0","2,0,1",2,0,2,1,0,1,"2,0,1","0,1,2","2,0,1","1,2,0","0,1,2","1,2,0"
11,"(0,1,2,1)",0,1,2,1,"(0,1,2,1) -> (1,2,0,2) -> (2,0,1,0)",3,"0,1,2","1,2,0","2,0,1",2,1,1,1,0,0,"2,0,1","1,2,0","1,2,0","1,2,0","0,1,2","0,1,2"
12,"(0,1,2,2)",0,1,2,2,"(0,1,2,2) -> (1,2,0,0) -> (2,0,1,1)",3,"0,1,2","1,2,0","2,0,1",2,2,0,1,0,2,"2,0,1","2,0,1","0,1,2","1,2,0","0,1,2","2,0,1"
13,"(0,2,1,0)",0,2,1,0,"(0,2,1,0) -> (1,0,2,1) -> (2,1,0,2)",3,"0,1,2","1,2,0","2,0,1",1,0,1,2,0,2,"1,2,0","0,1,2","1,2,0","2,0,1","0,1,2","2,0,1"
14,"(0,2,1,1)",0,2,1,1,"(0,2,1,1) -> (1,0,2,2) -> (2,1,0,0)",3,"0,1,2","1,2,0","2,0,1",1,1,0,2,0,1,"1,2,0","1,2,0","0,1,2","2,0,1","0,1,2","1,2,0"
15,"(0,2,1,2)",0,2,1,2,"(0,2,1,2) -> (1,0,2,0) -> (2,1,0,1)",3,"0,1,2","1,2,0","2,0,1",1,2,2,2,0,0,"1,2,0","2,0,1","2,0,1","2,0,1","0,1,2","0,1,2"
16,"(0,2,2,0)",0,2,2,0,"(0,2,2,0) -> (1,0,0,1) -> (2,1,1,2)",3,"0,1,2","1,2,0","2,0,1",2,0,1,2,0,1,"2,0,1","0,1,2","1,2,0","2,0,1","0,1,2","1,2,0"
17,"(0,2,2,1)",0,2,2,1,"(0,2,2,1) -> (1,0,0,2) -> (2,1,1,0)",3,"0,1,2","1,2,0","2,0,1",2,1,0,2,0,0,"2,0,1","1,2,0","0,1,2","2,0,1","0,1,2","0,1,2"
18,"(0,2,2,2)",0,2,2,2,"(0,2,2,2) -> (1,0,0,0) -> (2,1,1,1)",3,"0,1,2","1,2,0","2,0,1",2,2,2,2,0,2,"2,0,1","2,0,1","2,0,1","2,0,1","0,1,2","2,0,1"
