orbit_id,orbit_size,representative,members,stabilizer_size,stabilizer
1,1,g1:000,g1:000,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
2,2,g1:001,g1:001;g1:020,3,id;sigma;sigma^2
3,2,g1:002,g1:002;g1:010,3,id;sigma;sigma^2
4,2,g1:011,g1:011;g1:022,3,id;sigma;sigma^2
5,1,g1:012,g1:012,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
6,1,g1:021,g1:021,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
7,2,g1:100,g1:100;g1:200,3,id;sigma;sigma^2
8,2,g1:101,g1:101;g1:220,3,id;sigma;sigma^2
9,2,g1:102,g1:102;g1:210,3,id;sigma;sigma^2
10,2,g1:110,g1:110;g1:202,3,id;sigma;sigma^2
11,2,g1:111,g1:111;g1:222,3,id;sigma;sigma^2
12,2,g1:112,g1:112;g1:212,3,id;sigma;sigma^2
13,2,g1:120,g1:120;g1:201,3,id;sigma;sigma^2
14,2,g1:121,g1:121;g1:221,3,id;sigma;sigma^2
15,2,g1:122,g1:122;g1:211,3,id;sigma;sigma^2
16,1,g2:000,g2:000,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
17,2,g2:001,g2:001;g2:020,3,id;sigma;sigma^2
18,2,g2:002,g2:002;g2:010,3,id;sigma;sigma^2
19,2,g2:011,g2:011;g2:022,3,id;sigma;sigma^2
20,1,g2:012,g2:012,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
21,1,g2:021,g2:021,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
22,2,g2:100,g2:100;g2:200,3,id;sigma;sigma^2
23,2,g2:101,g2:101;g2:220,3,id;sigma;sigma^2
24,2,g2:102,g2:102;g2:210,3,id;sigma;sigma^2
25,2,g2:110,g2:110;g2:202,3,id;sigma;sigma^2
26,2,g2:111,g2:111;g2:222,3,id;sigma;sigma^2
27,2,g2:112,g2:112;g2:212,3,id;sigma;sigma^2
28,2,g2:120,g2:120;g2:201,3,id;sigma;sigma^2
29,2,g2:121,g2:121;g2:221,3,id;sigma;sigma^2
30,2,g2:122,g2:122;g2:211,3,id;sigma;sigma^2
31,1,g3:000,g3:000,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
32,2,g3:001,g3:001;g3:020,3,id;sigma;sigma^2
33,2,g3:002,g3:002;g3:010,3,id;sigma;sigma^2
34,2,g3:011,g3:011;g3:022,3,id;sigma;sigma^2
35,1,g3:012,g3:012,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
36,1,g3:021,g3:021,6,id;tau_12;tau_01;sigma;sigma^2;tau_02
37,2,g3:100,g3:100;g3:200,3,id;sigma;sigma^2
38,2,g3:101,g3:101;g3:220,3,id;sigma;sigma^2
39,2,g3:102,g3:102;g3:210,3,id;sigma;sigma^2
